,participant,session,order,start,end,start_hms,end_hms,place_1,place_2,activity,activity 2,comment,type,,,,,,,,,,,
1,2,reg,30,356,410,5M 56S,6M 50S,co,,chop,,,rack,,1,2,reg,0,21,228,240,3M 48S,4M 0S,rack
2,4,reg,57,510,512,8M 30S,8M 32S,co,,place,,,loose,,2,4,reg,0,11,48,56,48S,56S,loose
3,6,reg,100,1306,1308,21M 46S,21M 48S,co,stove,heat,,,,,4,9,reg,0,8,62,66,1M 2S,1M 6S,loose
4,9,reg,56,420,490,7M 0S,8M 10S,co,,chop,,,loose,,5,10,reg,0,66,620,644,10M 20S,10M 44S,loose
5,10,reg,169,1292,1304,21M 32S,21M 44S,stove,,grate,add,,loose,,6,12,reg,0,164,1840,1856,30M 40S,30M 56S,rack
6,12,reg,170,1876,2112,31M 16S,35M 12S,table,,chop,,,rack,,8,17,reg,0,396,3588,3612,59M 48S,1H 0M 12S,loose
7,16,reg,167,1124,1126,18M 44S,18M 46S,co,,place,,,,,9,19,reg,0,58,288,318,4M 48S,5M 18S,loose
8,17,reg,396,3588,3612,59M 48S,1H 0M 12S,co,,crush,,garlic granules,loose,,10,20,reg,0,48,284,300,4M 44S,5M 0S,rack
9,19,reg,58,288,318,4M 48S,5M 18S,co,,chop,dispose,,loose,,11,2,new,0,48,504,510,8M 24S,8M 30S,rack
10,20,reg,48,284,300,4M 44S,5M 0S,cpB,co,chop,retrieve,,rack,,12,4,new,0,164,1670,1734,27M 50S,28M 54S,loose
11,2,new,73,798,830,13M 18S,13M 50S,co,,chop,,,rack,,13,5,new,0,40,1478,1546,24M 38S,25M 46S,rack
12,4,new,164,1670,1734,27M 50S,28M 54S,co,,chop,,,loose,,14,6,new,0,40,816,866,13M 36S,14M 26S,loose
13,5,new,45,1598,1602,26M 38S,26M 42S,co,,show,,,rack,,15,9,new,0,194,1192,1252,19M 52S,20M 52S,loose
14,6,new,40,816,866,13M 36S,14M 26S,co,,chop,,,loose,,16,10,new,0,11,74,86,1M 14S,1M 26S,rack
15,9,new,218,1296,1298,21M 36S,21M 38S,co,,chop,,,loose,,17,11,new,0,5,140,148,2M 20S,2M 28S,rack
16,10,new,162,1720,1730,28M 40S,28M 50S,co,,chop,,,rack,,18,13,new,0,86,388,510,6M 28S,8M 30S,loose
17,11,new,11,180,192,3M 0S,3M 12S,co,,chop,,,rack,,19,14,new,0,27,184,286,3M 4S,4M 46S,loose
18,13,new,86,388,510,6M 28S,8M 30S,co,,chop,,,loose,,20,15,new,0,106,680,726,11M 20S,12M 6S,loose
19,14,new,89,566,608,9M 26S,10M 8S,co,,chop,,,loose,,21,16,new,0,37,1742,1842,29M 2S,30M 42S,loose
20,15,new,115,744,760,12M 24S,12M 40S,stove,,chop,,,loose,,22,17,new,0,195,2698,2724,44M 58S,45M 24S,rack
21,16,new,69,2064,2200,34M 24S,36M 40S,co,,chop,,,loose,,23,18,new,0,13,136,138,2M 16S,2M 18S,rack
22,17,new,195,2698,2724,44M 58S,45M 24S,co,,crush,,,rack,,,,,,,,,,,
23,18,new,69,440,448,7M 20S,7M 28S,co,co,place,,,rack,,,,,,,,,,,
24,18,new,493,2420,2428,40M 20S,40M 28S,co,trashB,dispose,,,rack,,,,,,,,,,,
25,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,
26,2,reg,21,228,240,3M 48S,4M 0S,,,,,,,,,,,,,,,,,
27,2,reg,35,526,528,8M 46S,8M 48S,,,,,,,,,,,,,,,,,
28,2,reg,57,864,1014,14M 24S,16M 54S,,,,,,,,,,,,,,,,,
29,4,reg,11,48,56,48S,56S,,,,,,,,,,,,,,,,,
30,4,reg,107,1060,1092,17M 40S,18M 12S,,,,,,,,,,,,,,,,,
31,9,reg,8,62,66,1M 2S,1M 6S,,,,,,,,,,,,,,,,,
32,9,reg,25,156,246,2M 36S,4M 6S,,,,,,,,,,,,,,,,,
33,9,reg,98,680,684,11M 20S,11M 24S,,,,,,,,,,,,,,,,,
34,9,reg,152,1088,1112,18M 8S,18M 32S,,,,,,,,,,,,,,,,,
35,10,reg,68,620,644,10M 20S,10M 44S,,,,,,,,,,,,,,,,,
36,12,reg,164,1840,1856,30M 40S,30M 56S,,,,,,,,,,,,,,,,,
37,12,reg,184,2162,2176,36M 2S,36M 16S,,,,,,,,,,,,,,,,,
38,20,reg,55,306,344,5M 6S,5M 44S,,,,,,,,,,,,,,,,,
39,20,reg,59,346,354,5M 46S,5M 54S,,,,,,,,,,,,,,,,,
40,20,reg,74,430,502,7M 10S,8M 22S,,,,,,,,,,,,,,,,,
41,20,reg,89,510,552,8M 30S,9M 12S,,,,,,,,,,,,,,,,,
42,20,reg,109,784,792,13M 4S,13M 12S,,,,,,,,,,,,,,,,,
43,2,new,48,504,510,8M 24S,8M 30S,,,,,,,,,,,,,,,,,
44,2,new,68,744,782,12M 24S,13M 2S,,,,,,,,,,,,,,,,,
45,2,new,84,956,1000,15M 56S,16M 40S,,,,,,,,,,,,,,,,,
46,2,new,173,2434,2438,40M 34S,40M 38S,,,,,,,,,,,,,,,,,
47,4,new,178,1806,1840,30M 6S,30M 40S,,,,,,,,,,,,,,,,,
48,5,new,40,1478,1546,24M 38S,25M 46S,,,,,,,,,,,,,,,,,
49,9,new,194,1192,1252,19M 52S,20M 52S,,,,,,,,,,,,,,,,,
50,9,new,275,1576,1596,26M 16S,26M 36S,,,,,,,,,,,,,,,,,
51,9,new,497,4032,4034,1H 7M 12S,1H 7M 14S,,,,,,,,,,,,,,,,,
52,10,new,11,74,86,1M 14S,1M 26S,,,,,,,,,,,,,,,,,
53,10,new,28,208,222,3M 28S,3M 42S,,,,,,,,,,,,,,,,,
54,10,new,152,1624,1678,27M 4S,27M 58S,,,,,,,,,,,,,,,,,
55,10,new,446,4130,4146,1H 8M 50S,1H 9M 6S,,,,,,,,,,,,,,,,,
56,11,new,5,140,148,2M 20S,2M 28S,,,,,,,,,,,,,,,,,
57,11,new,7,152,166,2M 32S,2M 46S,,,,,,,,,,,,,,,,,
58,11,new,15,208,232,3M 28S,3M 52S,,,,,,,,,,,,,,,,,
59,11,new,19,234,254,3M 54S,4M 14S,,,,,,,,,,,,,,,,,
60,11,new,24,260,284,4M 20S,4M 44S,,,,,,,,,,,,,,,,,
61,11,new,30,294,440,4M 54S,7M 20S,,,,,,,,,,,,,,,,,
62,11,new,37,442,462,7M 22S,7M 42S,,,,,,,,,,,,,,,,,
63,11,new,41,470,644,7M 50S,10M 44S,,,,,,,,,,,,,,,,,
64,13,new,293,1118,1140,18M 38S,19M 0S,,,,,,,,,,,,,,,,,
65,14,new,27,184,286,3M 4S,4M 46S,,,,,,,,,,,,,,,,,
66,14,new,43,290,310,4M 50S,5M 10S,,,,,,,,,,,,,,,,,
67,15,new,106,680,726,11M 20S,12M 6S,,,,,,,,,,,,,,,,,
68,15,new,109,728,730,12M 8S,12M 10S,,,,,,,,,,,,,,,,,
69,15,new,216,1280,1302,21M 20S,21M 42S,,,,,,,,,,,,,,,,,
70,16,new,37,1742,1842,29M 2S,30M 42S,,,,,,,,,,,,,,,,,
71,16,new,60,2024,2028,33M 44S,33M 48S,,,,,,,,,,,,,,,,,
72,16,new,62,2030,2032,33M 50S,33M 52S,,,,,,,,,,,,,,,,,
73,16,new,66,2034,2046,33M 54S,34M 6S,,,,,,,,,,,,,,,,,
74,16,new,78,2232,2240,37M 12S,37M 20S,,,,,,,,,,,,,,,,,
75,16,new,135,2530,2532,42M 10S,42M 12S,,,,,,,,,,,,,,,,,
76,17,new,204,2780,2882,46M 20S,48M 2S,,,,,,,,,,,,,,,,,
77,17,new,464,4912,4920,1H 21M 52S,1H 22M 0S,,,,,,,,,,,,,,,,,
78,18,new,13,136,138,2M 16S,2M 18S,,,,,,,,,,,,,,,,,
79,18,new,93,562,694,9M 22S,11M 34S,,,,,,,,,,,,,,,,,
80,18,new,105,652,758,10M 52S,12M 38S,,,,,,,,,,,,,,,,,
81,18,new,113,702,966,11M 42S,16M 6S,,,,,,,,,,,,,,,,,
82,18,new,123,764,802,12M 44S,13M 22S,,,,,,,,,,,,,,,,,
83,18,new,136,842,846,14M 2S,14M 6S,,,,,,,,,,,,,,,,,
84,18,new,323,1772,1778,29M 32S,29M 38S,,,,,,,,,,,,,,,,,
85,18,new,343,1826,1828,30M 26S,30M 28S,,,,,,,,,,,,,,,,,
86,18,new,432,2198,2202,36M 38S,36M 42S,,,,,,,,,,,,,,,,,
