,participant,session,order,start,end,start_hms,end_hms,place_1,place_2,activity,activity 2,type,,,id,participant,session,items_uniq,order,start,end,start_hms,end_hms,type
1,5,reg,36,824,862,13M 44S,14M 22S,co,,hold,,,,,1,5,reg,0,36,824,862,13M 44S,14M 22S,standard
2,8,reg,89,724,730,12M 4S,12M 10S,co,trashb,sneeze,dispose,,,,2,8,reg,0,89,724,730,12M 4S,12M 10S,standard + stand
3,9,reg,379,2848,2874,47M 28S,47M 54S,co,sk,wipe,,,,,3,9,reg,0,206,1428,1444,23M 48S,24M 4S,standard
4,10,reg,223,1748,1764,29M 8S,29M 24S,co,sk,reposition,wipe,,,,4,10,reg,0,25,172,178,2M 52S,2M 58S,standard
5,14,reg,394,3400,3428,56M 40S,57M 8S,co,,wipe,wipe,,,,5,14,reg,0,384,3286,3292,54M 46S,54M 52S,standard
6,15,reg,474,2530,2536,42M 10S,42M 16S,co,,wipe,reposition,,,,6,15,reg,0,98,510,522,8M 30S,8M 42S,standard + stand
7,16,reg,115,866,870,14M 26S,14M 30S,co,,wipe,reposition,,,,7,16,reg,0,39,272,278,4M 32S,4M 38S,standard + stand
8,16,reg,159,1094,1108,18M 14S,18M 28S,co,,wipe,,,,,8,20,reg,0,52,300,306,5M 0S,5M 6S,standard + stand
9,20,reg,52,300,306,5M 0S,5M 6S,co,,place,,,,,9,3,new,0,34,780,782,13M 0S,13M 2S,standard
10,3,new,34,780,782,13M 0S,13M 2S,co,,reposition,,,,,10,5,new,0,38,1458,1508,24M 18S,25M 8S,standard
11,5,new,155,4726,4732,1H 18M 46S,1H 18M 52S,co,trashB,sneeze,dispose,,,,11,8,new,0,104,984,994,16M 24S,16M 34S,standard + stand
12,8,new,104,984,994,16M 24S,16M 34S,co,,wipe,manipulate,,,,12,9,new,0,133,878,890,14M 38S,14M 50S,standard
13,9,new,435,2782,2802,46M 22S,46M 42S,sk,,wipe,,,,,13,10,new,0,72,936,972,15M 36S,16M 12S,standard
14,9,new,489,3992,4002,1H 6M 32S,1H 6M 42S,table,,wipe,place,,,,14,14,new,0,121,724,736,12M 4S,12M 16S,standard
15,10,new,82,1048,1078,17M 28S,17M 58S,co,,wipe,,,,,15,15,new,0,75,416,438,6M 56S,7M 18S,standard + stand
16,10,new,830,6628,6630,1H 50M 28S,1H 50M 30S,co,,wipe,place,,,,16,16,new,0,20,1630,1632,27M 10S,27M 12S,standard + stand
17,14,new,121,724,736,12M 4S,12M 16S,trashB,,wipe,dispose,,,,17,17,new,0,7,96,140,1M 36S,2M 20S,standard + stand
18,15,new,85,498,510,8M 18S,8M 30S,trashB,,wipe,dispose,,,,,,,,,,,,,
19,16,new,272,3732,3738,1H 2M 12S,1H 2M 18S,co,,place,wipe,,,,,,,,,,,,,
20,17,new,342,4110,4130,1H 8M 30S,1H 8M 50S,stove,co,wipe,,,,,,,,,,,,,,
21,17,new,524,5244,5260,1H 27M 24S,1H 27M 40S,stove,table,manipulate,,,,,,,,,,,,,,
22,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,
23,8,reg,185,1404,1412,23M 24S,23M 32S,,,,,,,,,,,,,,,,,
24,9,reg,206,1428,1444,23M 48S,24M 4S,,,,,,,,,,,,,,,,,
25,9,reg,220,1486,1488,24M 46S,24M 48S,,,,,,,,,,,,,,,,,
26,9,reg,274,1878,1880,31M 18S,31M 20S,,,,,,,,,,,,,,,,,
27,9,reg,370,2784,2812,46M 24S,46M 52S,,,,,,,,,,,,,,,,,
28,9,reg,377,2844,2854,47M 24S,47M 34S,,,,,,,,,,,,,,,,,
29,9,reg,388,2876,2952,47M 56S,49M 12S,,,,,,,,,,,,,,,,,
30,9,reg,404,2956,2980,49M 16S,49M 40S,,,,,,,,,,,,,,,,,
31,9,reg,410,2984,3080,49M 44S,51M 20S,,,,,,,,,,,,,,,,,
32,9,reg,434,3182,3222,53M 2S,53M 42S,,,,,,,,,,,,,,,,,
33,10,reg,25,172,178,2M 52S,2M 58S,,,,,,,,,,,,,,,,,
34,10,reg,182,1422,1456,23M 42S,24M 16S,,,,,,,,,,,,,,,,,
35,10,reg,198,1560,1568,26M 0S,26M 8S,,,,,,,,,,,,,,,,,
36,10,reg,241,1932,1948,32M 12S,32M 28S,,,,,,,,,,,,,,,,,
37,14,reg,384,3286,3292,54M 46S,54M 52S,,,,,,,,,,,,,,,,,
38,14,reg,506,4076,4110,1H 7M 56S,1H 8M 30S,,,,,,,,,,,,,,,,,
39,15,reg,98,510,522,8M 30S,8M 42S,,,,,,,,,,,,,,,,,
40,15,reg,171,884,888,14M 44S,14M 48S,,,,,,,,,,,,,,,,,
41,15,reg,485,2642,2700,44M 2S,45M 0S,,,,,,,,,,,,,,,,,
42,16,reg,39,272,278,4M 32S,4M 38S,,,,,,,,,,,,,,,,,
43,16,reg,40,274,278,4M 34S,4M 38S,,,,,,,,,,,,,,,,,
44,16,reg,64,432,434,7M 12S,7M 14S,,,,,,,,,,,,,,,,,
45,16,reg,100,832,836,13M 52S,13M 56S,,,,,,,,,,,,,,,,,
46,16,reg,109,846,848,14M 6S,14M 8S,,,,,,,,,,,,,,,,,
47,16,reg,132,924,926,15M 24S,15M 26S,,,,,,,,,,,,,,,,,
48,16,reg,135,934,962,15M 34S,16M 2S,,,,,,,,,,,,,,,,,
49,16,reg,140,966,968,16M 6S,16M 8S,,,,,,,,,,,,,,,,,
50,16,reg,141,972,976,16M 12S,16M 16S,,,,,,,,,,,,,,,,,
51,16,reg,151,1048,1062,17M 28S,17M 42S,,,,,,,,,,,,,,,,,
52,16,reg,163,1118,1122,18M 38S,18M 42S,,,,,,,,,,,,,,,,,
53,20,reg,460,3032,3038,50M 32S,50M 38S,,,,,,,,,,,,,,,,,
54,5,new,38,1458,1508,24M 18S,25M 8S,,,,,,,,,,,,,,,,,
55,5,new,178,5250,5254,1H 27M 30S,1H 27M 34S,,,,,,,,,,,,,,,,,
56,9,new,133,878,890,14M 38S,14M 50S,,,,,,,,,,,,,,,,,
57,9,new,159,1034,1036,17M 14S,17M 16S,,,,,,,,,,,,,,,,,
58,9,new,163,1044,1050,17M 24S,17M 30S,,,,,,,,,,,,,,,,,
59,9,new,257,1456,1464,24M 16S,24M 24S,,,,,,,,,,,,,,,,,
60,9,new,260,1466,1484,24M 26S,24M 44S,,,,,,,,,,,,,,,,,
61,9,new,277,1582,1612,26M 22S,26M 52S,,,,,,,,,,,,,,,,,
62,9,new,297,1688,1692,28M 8S,28M 12S,,,,,,,,,,,,,,,,,
63,9,new,338,1996,2042,33M 16S,34M 2S,,,,,,,,,,,,,,,,,
64,9,new,442,2868,2870,47M 48S,47M 50S,,,,,,,,,,,,,,,,,
65,9,new,443,2870,2904,47M 50S,48M 24S,,,,,,,,,,,,,,,,,
66,10,new,72,936,972,15M 36S,16M 12S,,,,,,,,,,,,,,,,,
67,10,new,122,1286,1296,21M 26S,21M 36S,,,,,,,,,,,,,,,,,
68,10,new,132,1370,1390,22M 50S,23M 10S,,,,,,,,,,,,,,,,,
69,10,new,221,2286,2294,38M 6S,38M 14S,,,,,,,,,,,,,,,,,
70,10,new,248,2600,2620,43M 20S,43M 40S,,,,,,,,,,,,,,,,,
71,10,new,612,5296,5306,1H 28M 16S,1H 28M 26S,,,,,,,,,,,,,,,,,
72,10,new,641,5470,5484,1H 31M 10S,1H 31M 24S,,,,,,,,,,,,,,,,,
73,10,new,649,5536,5552,1H 32M 16S,1H 32M 32S,,,,,,,,,,,,,,,,,
74,10,new,757,6208,6216,1H 43M 28S,1H 43M 36S,,,,,,,,,,,,,,,,,
75,10,new,801,6470,6476,1H 47M 50S,1H 47M 56S,,,,,,,,,,,,,,,,,
76,10,new,815,6544,6544,1H 49M 4S,1H 49M 4S,,,,,,,,,,,,,,,,,
77,10,new,819,6556,6584,1H 49M 16S,1H 49M 44S,,,,,,,,,,,,,,,,,
78,14,new,416,3420,3438,57M 0S,57M 18S,,,,,,,,,,,,,,,,,
79,15,new,75,416,438,6M 56S,7M 18S,,,,,,,,,,,,,,,,,
80,16,new,20,1630,1632,27M 10S,27M 12S,,,,,,,,,,,,,,,,,
81,16,new,28,1682,1692,28M 2S,28M 12S,,,,,,,,,,,,,,,,,
82,16,new,36,1738,1740,28M 58S,29M 0S,,,,,,,,,,,,,,,,,
83,16,new,59,2020,2030,33M 40S,33M 50S,,,,,,,,,,,,,,,,,
84,16,new,75,2212,2214,36M 52S,36M 54S,,,,,,,,,,,,,,,,,
85,16,new,121,2474,2476,41M 14S,41M 16S,,,,,,,,,,,,,,,,,
86,16,new,266,3646,3648,1H 0M 46S,1H 0M 48S,,,,,,,,,,,,,,,,,
87,16,new,313,4274,4276,1H 11M 14S,1H 11M 16S,,,,,,,,,,,,,,,,,
88,17,new,7,96,140,1M 36S,2M 20S,,,,,,,,,,,,,,,,,
89,17,new,12,140,174,2M 20S,2M 54S,,,,,,,,,,,,,,,,,
90,17,new,274,3552,3568,59M 12S,59M 28S,,,,,,,,,,,,,,,,,
91,17,new,298,3788,3816,1H 3M 8S,1H 3M 36S,,,,,,,,,,,,,,,,,
92,17,new,310,3902,3908,1H 5M 2S,1H 5M 8S,,,,,,,,,,,,,,,,,
93,17,new,318,3948,3976,1H 5M 48S,1H 6M 16S,,,,,,,,,,,,,,,,,
94,17,new,332,4048,4058,1H 7M 28S,1H 7M 38S,,,,,,,,,,,,,,,,,
95,17,new,344,4136,4138,1H 8M 56S,1H 8M 58S,,,,,,,,,,,,,,,,,
96,17,new,349,4144,4146,1H 9M 4S,1H 9M 6S,,,,,,,,,,,,,,,,,
97,17,new,395,4450,4452,1H 14M 10S,1H 14M 12S,,,,,,,,,,,,,,,,,
98,17,new,428,4690,4696,1H 18M 10S,1H 18M 16S,,,,,,,,,,,,,,,,,
